osmid,u,v,length,speed_kph,travel_time
4458066,1902209853,21993925,307.2353953522355,60.0,18.434123721134128
347257545,1902209853,26234932,596.9592106800869,60.0,35.81755264080521
31387754,1902409846,22266524,25.25953249932561,60.0,1.5155719499595364
948147794,1902409846,1555741443,42.47003987924405,60.0,2.548202392754643
421542462,1903257537,10587509015,529.4592417403765,60.0,31.767554504422584
38475837,1903275624,416865232,19.322306693366716,60.0,1.159338401602003
453725335,1903275624,2452364686,182.00422517175642,60.0,10.920253510305384
38475837,1903275624,248811939,99.40826266400488,60.0,5.964495759840292
1483891094,1904453979,13606119744,6.599166800778117,59.63388796450361,0.39838087526579363
1432531592,1904453979,8420186832,159.0615600845545,59.63388796450361,9.602285476426468
"[1483891103, 194461691, 1483891095]",1904453979,700371858,524.4544598358224,60.0,31.46726759014934
"[180025452, 180025453]",1904656715,416790936,115.63803216521177,60.0,6.938281929912706
"[413021609, 33544908, 552641799]",1905006231,5335353235,70.80681556667233,60.0,4.24840893400034
131379845,1905006231,1446017828,143.24018488347244,60.0,8.594411093008345
"[31376024, 223469873, 854622437, 854622438]",1905553705,968568262,376.90490913672,60.0,22.614294548203198
"[333986951, 336083475, 707456534, 336083481, 1347205341, 707450398]",1905553705,1898280226,1183.4055228703132,60.0,71.00433137221879
"[306069473, 854622433]",1905553783,223683,145.45930488130833,60.0,8.727558292878498
86055441,1905581259,258976,788.4746553757718,60.0,47.308479322546305
597228632,1905581259,998543311,69.98818065309231,60.0,4.199290839185538
308813887,1906127005,26057775,73.63880389872251,60.0,4.418328233923351
4460633,1906790197,1339782284,91.02033978593472,60.0,5.461220387156083
347696318,1906838047,1923404658,266.145263031133,60.0,15.96871578186798
"[237044370, 1051861851, 237044350]",1906838141,9293483446,549.0098255607724,59.63388796450361,33.14282263794759
360175784,1906838141,947180302,155.99786183162269,60.0,9.35987170989736
"[360175784, 991322209]",1906838141,432478153,1923.6031975294613,60.0,115.41619185176768
185206620,1907077789,26058660,13.823187801142135,60.0,0.829391268068528
"[386733920, 804694109]",1907077789,332370,294.98874898266047,60.0,17.699324938959627
31403711,1908472453,1286941368,8.924809525111737,60.0,0.5354885715067041
180399551,1908472453,1562060896,199.18910230805955,60.0,11.951346138483572
75045350,1908472456,1286941400,6.635166997258512,60.0,0.3981100198355107
121643135,1908472456,1570574351,239.82521556234974,60.0,14.389512933740983
180619381,1910558264,25893574,314.76760328669127,60.0,18.886056197201476
212321134,1910558264,2383537958,102.38165894362146,60.0,6.142899536617287
212321134,1910558264,25893619,258.66406594145155,60.0,15.519843956487092
31401570,1910558278,2009485656,261.38951819658234,60.0,15.683371091794939
"[110537170, 180619382]",1910558278,416796518,441.2398571155009,60.0,26.47439142693005
180619382,1910558278,2383537921,134.4035873198541,60.0,8.064215239191245
725202080,1911183605,15484838,25.499803237799096,60.0,1.5299881942679456
